SalePrice,OverallQual,GrLivArea,GarageCars,TotalBsmtSF,FullBath,YearBuilt,YearRemodAdd,MasVnrArea,Fireplaces,BsmtFinSF1,Foundation,LotFrontage,WoodDeckSF,2ndFlrSF,OpenPorchSF
208500,7,1710,2,856,2,2003,2003,196.0,0,706,2.0,65.0,0,854,61
181500,6,1262,2,1262,2,1976,1976,0.0,1,978,1.0,80.0,298,0,0
223500,7,1786,2,920,2,2001,2002,162.0,1,486,2.0,68.0,0,866,42
140000,7,1717,3,756,1,1915,1970,0.0,1,216,0.0,60.0,0,756,35
250000,8,2198,3,1145,2,2000,2000,350.0,1,655,2.0,84.0,192,1053,84
143000,5,1362,2,796,1,1993,1995,0.0,0,732,5.0,85.0,40,566,30
307000,8,1694,2,1686,2,2004,2005,186.0,1,1369,2.0,75.0,255,0,57
129900,7,1774,2,952,2,1931,1950,0.0,2,0,0.0,51.0,90,752,0
118000,5,1077,1,991,1,1939,1950,0.0,2,851,0.0,50.0,0,0,4
129500,5,1040,1,1040,1,1965,1965,0.0,0,906,1.0,70.0,0,0,0
345000,9,2324,3,1175,3,2005,2006,286.0,2,998,2.0,85.0,147,1142,21
279500,7,1494,3,1494,2,2006,2007,306.0,1,0,2.0,91.0,160,0,33
132000,7,854,2,832,1,1929,2001,0.0,0,0,0.0,51.0,48,0,112
90000,4,1296,2,0,2,1967,1967,0.0,0,0,3.0,72.0,0,0,0
159000,5,1114,2,1114,1,2004,2004,0.0,0,646,2.0,66.0,0,0,102
139000,5,1339,1,1029,1,1958,1965,0.0,0,504,1.0,70.0,0,0,0
325300,8,2376,3,1158,3,2005,2006,380.0,1,0,2.0,101.0,240,1218,154
139400,7,1108,1,637,1,1930,1950,0.0,1,0,2.0,57.0,0,0,0
230000,8,1795,2,1777,2,2002,2002,281.0,1,0,2.0,75.0,171,0,159
129900,5,1060,2,1040,1,1976,1976,0.0,1,840,2.0,44.0,100,0,110
256300,8,1600,3,1566,2,2007,2007,640.0,1,0,2.0,110.0,0,0,56
134800,5,900,2,900,1,1951,2000,0.0,0,234,1.0,60.0,222,0,32
306000,8,1704,3,1704,2,2007,2008,200.0,1,1218,2.0,98.0,0,0,50
207500,5,1600,1,1484,1,1957,1997,0.0,2,1277,1.0,47.0,288,0,258
68500,4,520,1,520,1,1927,1950,0.0,0,0,0.0,60.0,49,0,0
40000,4,1317,1,649,1,1920,1950,0.0,0,0,0.0,50.0,0,668,54
179900,8,1234,2,1234,2,2007,2007,0.0,0,0,2.0,85.0,0,0,30
165500,5,1700,2,1398,1,1959,1959,0.0,1,1018,1.0,70.0,0,0,38
277500,9,1561,2,1561,2,2005,2005,246.0,1,1153,2.0,60.0,203,0,47
309000,8,2452,3,1117,3,2004,2005,132.0,1,0,2.0,108.0,113,1320,32
